cod_postal,poblacion,provinciaid,provincia
01193,Aberasturi,01,Araba/Alava
01013,Abetxuko,01,Araba/Alava
01449,Abezia,01,Araba/Alava
01427,Acebedo,01,Araba/Alava
01138,Acosta,01,Araba/Alava
01207,Adana,01,Araba/Alava
01479,AgiNaga,01,Araba/Alava
01200,Agurain,01,Araba/Alava
01476,Aiara,01,Araba/Alava
01208,Albeiz,01,Araba/Alava
01423,Alcedo,01,Araba/Alava
01117,Alda,01,Araba/Alava
01240,Alegria-dulantzi,01,Araba/Alava
01129,Aletxa,01,Araba/Alava
01010,Ali,01,Araba/Alava
01468,Aloria,01,Araba/Alava
01139,Altube,01,Araba/Alava
01520,Amarita,01,Araba/Alava
01470,Amurrio,01,Araba/Alava
01439,Anda,01,Araba/Alava
01196,Andetxa,01,Araba/Alava
01260,Andoin,01,Araba/Alava
01118,Angostina,01,Araba/Alava
01220,Antezana De La Ribera,01,Araba/Alava
01128,AntoNana,01,Araba/Alava
01428,Anucita,01,Araba/Alava
01250,Araia,01,Araba/Alava
01169,Aramaio,01,Araba/Alava
01420,Arbigano,01,Araba/Alava
01192,Arbulu,01,Araba/Alava
01194,Aretxabaleta,01,Araba/Alava
01195,AriNez,01,Araba/Alava
01216,Arluzea,01,Araba/Alava
01007,Armentia,01,Araba/Alava
01120,Arraia-maeztu,01,Araba/Alava
01426,Arreo,01,Araba/Alava
01206,Arrieta,01,Araba/Alava
01474,Artziniega,01,Araba/Alava
01308,Asa,01,Araba/Alava
01191,Astegieta,01,Araba/Alava
01477,ANes,01,Araba/Alava
01450,Baranbio,01,Araba/Alava
01211,Baroja,01,Araba/Alava
01322,Barriobusto,01,Araba/Alava
01330,Bastida,01,Araba/Alava
01307,BaNos De Ebro,01,Araba/Alava
01212,Berganzo,01,Araba/Alava
01510,Betolaza,01,Araba/Alava
01309,Bilar,01,Araba/Alava
01409,Billatxika,01,Araba/Alava
01213,Caicedo De Yuso,01,Araba/Alava
01110,Campezo,01,Araba/Alava
01478,Campijo,01,Araba/Alava
01100,Centro Militar Araka,01,Araba/Alava
01340,Elciego,01,Araba/Alava
01170,Elosu,01,Araba/Alava
01160,Ibarra,01,Araba/Alava
01230,IruNa De Oca,01,Araba/Alava
01440,Izarra,01,Araba/Alava
01430,Kuartango,01,Araba/Alava
01300,Laguardia,01,Araba/Alava
01306,Lapuebla De Labarca,01,Araba/Alava
01321,Laserna,01,Araba/Alava
01400,Laudio/llodio,01,Araba/Alava
01408,Luiaondo,01,Araba/Alava
01130,Murgia,01,Araba/Alava
01320,Oion,01,Araba/Alava
01165,Oleta,01,Araba/Alava
01000,Vitoria-gasteiz ver Callejero,01,Araba/Alava
02439,Abejuela,02,Albacete
02250,Abengibre,02,Albacete
02511,Abuzaderas Las,02,Albacete
02409,Agra,02,Albacete
02490,Agramon,02,Albacete
02049,Aguas Nuevas,02,Albacete
02152,Alatoz,02,Albacete
02000,Albacete ver Callejero,02,Albacete
02653,Albatana,02,Albacete
02215,Alborea,02,Albacete
02124,Alcadozo,02,Albacete
02210,Alcala Del Jucar,02,Albacete
02489,Alcantarilla,02,Albacete
02300,Alcaraz,02,Albacete
02249,Alcozarejos,02,Albacete
02448,Alejos Los,02,Albacete
02512,Aljube,02,Albacete
02640,Almansa,02,Albacete
02690,Alpera,02,Albacete
02140,Anguijes Los,02,Albacete
02327,Argamason,02,Albacete
02484,Arguellite,02,Albacete
02462,Arroyofrio,02,Albacete
02137,Arteaga,02,Albacete
02125,Ayna,02,Albacete
02320,Balazote,02,Albacete
02614,Ballestero El,02,Albacete
02214,Balsa De Ves,02,Albacete
02639,Barrax,02,Albacete
02536,Beg,02,Albacete
02460,Bellotar,02,Albacete
02127,Berro,02,Albacete
02360,Bienservida,02,Albacete
02130,Bogarra,02,Albacete
02691,Bonete,02,Albacete
02610,Bonillo El,02,Albacete
02129,Campillo De La Virgen,02,Albacete
02251,Campoalbillo,02,Albacete
02312,Canaleja,02,Albacete
02499,Cancarix,02,Albacete
02437,CaNada De Buendia,02,Albacete
02449,CaNada De Morote,02,Albacete
02326,CaNada Juncosa,02,Albacete
02534,CaNadas,02,Albacete
02139,CaNadas De Haches Abajo,02,Albacete
02153,Carcelen,02,Albacete
02459,Casa De La Noguera,02,Albacete
02151,Casas De Juan NuNez,02,Albacete
02329,Casas De Lazaro,02,Albacete
02212,Casas De Ves,02,Albacete
02211,Casas Del Cerro,02,Albacete
02200,Casas-ibaNez,02,Albacete
02660,Caudete,02,Albacete
02247,Cenizate,02,Albacete
02520,Chinchilla De Monte Aragon,02,Albacete
02340,Chospes Los,02,Albacete
02314,Cilleruelo,02,Albacete
02513,Cordovilla,02,Albacete
02693,Corral Rubio,02,Albacete
02461,Cotillas,02,Albacete
02162,Cuartico El,02,Albacete
02430,Elche De La Sierra,02,Albacete
02156,Felipa La,02,Albacete
02436,Ferez,02,Albacete
02637,Fuensanta,02,Albacete
02651,Fuente-alamo,02,Albacete
02260,Fuentealbilla,02,Albacete
02110,Gineta La,02,Albacete
02253,Golosalvo,02,Albacete
02400,Hellin,02,Albacete
02694,Higueruela,02,Albacete
02486,Horno Ciego,02,Albacete
02696,Hoya Gonzalo,02,Albacete
02420,Isso,02,Albacete
02248,Jorquera,02,Albacete
02487,Juan Quilez,02,Albacete
02434,Letur,02,Albacete
02160,Lezuza,02,Albacete
02410,Lietor,02,Albacete
02230,Madrigueras,02,Albacete
02240,Mahora,02,Albacete
02252,Mariminguez,02,Albacete
02620,Minaya,02,Albacete
02440,Molinicos,02,Albacete
02638,Montalvos,02,Albacete
02650,Montealegre Del Castillo,02,Albacete
02220,Motilleja,02,Albacete
